Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Condition
96,2,0,1,1,1,2,1,3,1,2,1,1,1,Moderate
97,2,2,3,2,0,3,3,1,2,3,2,2,2,Severe
98,1,0,0,1,0,1,1,0,1,0,1,0,0,Normal
99,2,1,2,2,1,2,2,1,2,2,2,1,2,Moderate
100,0,1,1,0,1,1,0,0,1,1,3,3,0,Normal
101,2,3,1,3,3,1,1,3,3,1,2,3,2,Severe
102,1,0,0,1,0,0,1,0,1,1,3,0,0,Normal
103,1,2,0,2,0,1,2,0,1,2,0,0,2,Normal
104,1,0,0,1,2,0,0,1,0,2,0,2,1,Normal
105,1,0,0,3,1,0,3,0,2,1,1,1,0,Normal
106,1,0,0,2,1,1,0,0,1,1,0,0,0,Normal
107,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
108,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
109,2,1,1,2,1,2,3,0,1,1,1,0,0,Mild
110,1,1,2,1,1,1,3,0,1,2,1,2,1,Mild
111,0,1,0,0,0,0,0,0,0,0,0,0,0,Normal
112,0,2,0,2,2,3,2,2,2,2,2,1,1,Moderate
113,0,0,0,2,1,0,0,0,0,1,0,0,0,Normal
114,2,3,1,3,2,2,2,2,2,1,2,2,2,Severe
115,0,1,0,0,0,1,1,1,1,1,1,0,0,Normal
116,1,1,2,1,1,0,0,1,1,1,1,1,0,Normal
117,3,2,3,3,3,3,3,3,3,3,3,3,3,Extremely Severe
118,1,3,3,2,3,3,3,2,2,3,1,3,2,Extremely Severe
119,1,1,1,3,3,1,1,1,3,3,1,1,1,Moderate
120,3,3,3,3,3,3,3,3,3,2,3,3,3,Extremely Severe
121,2,1,1,2,1,2,3,2,2,2,2,2,1,Moderate
122,1,0,0,1,1,1,0,1,1,2,2,2,1,Normal
123,1,1,1,0,1,0,3,0,0,2,1,1,0,Normal
124,3,2,1,0,3,3,3,3,3,1,3,3,3,Extremely Severe
125,3,2,2,2,3,3,3,1,3,2,2,3,2,Extremely Severe
126,0,0,1,1,2,1,1,1,0,1,0,1,0,Normal
127,3,1,3,2,2,3,3,2,2,2,2,2,1,Severe
128,1,1,0,3,0,1,1,1,3,1,1,1,1,Mild
129,0,0,2,1,2,1,3,1,0,0,2,1,3,Mild
